               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.023908,           0.0071777,                   0,             0.98102,             0.99394,             0.99451,             0.79528,            0.014477,            0.003209,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022027,            0.007155,                   0,             0.97493,                   1,             0.99458,             0.81235,            0.014373,           0.0031978,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022105,           0.0065932,                   0,                   1,             0.98149,              0.9947,             0.80058,             0.01512,           0.0032219,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022177,           0.0071416,                   0,             0.99094,             0.98788,             0.99488,             0.79429,            0.014369,            0.003218,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022943,           0.0060618,                   0,             0.98792,              0.9913,              0.9947,             0.81466,            0.014355,           0.0031362,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022787,             0.00661,                   0,             0.98581,             0.98788,             0.99446,             0.80912,            0.013777,           0.0030917,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022713,           0.0065135,                   0,             0.98744,                   1,             0.99494,             0.79356,              0.0142,            0.003072,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022461,           0.0078576,                   0,                   1,             0.99335,               0.995,             0.79749,            0.013418,           0.0029949,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020405,           0.0058657,                   0,             0.99848,                   1,               0.995,             0.81896,            0.013433,           0.0029133,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023112,            0.006061,                   0,             0.99942,                   1,               0.995,             0.82411,            0.012716,           0.0029236,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021897,           0.0062819,                   0,             0.99267,                   1,               0.995,             0.83823,             0.01295,           0.0028925,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019713,           0.0067205,                   0,             0.99286,                   1,               0.995,             0.83783,            0.012745,           0.0028792,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.02162,           0.0063156,                   0,             0.99398,             0.99991,               0.995,             0.83098,            0.013049,           0.0027939,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020771,            0.006861,                   0,             0.99308,             0.99394,             0.99488,             0.82002,            0.012646,           0.0027679,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022155,           0.0058017,                   0,             0.99343,                   1,             0.99488,             0.84756,            0.012209,           0.0028474,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022442,           0.0065635,                   0,             0.99306,                   1,             0.99494,             0.85553,            0.012035,            0.002794,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021312,           0.0061858,                   0,             0.99322,                   1,             0.99494,              0.8505,            0.011434,           0.0027033,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020154,           0.0061791,                   0,             0.99615,                   1,               0.995,             0.83549,             0.01156,            0.002688,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01985,           0.0062003,                   0,             0.99318,                   1,             0.99494,             0.85369,            0.011271,           0.0026913,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.01926,           0.0058655,                   0,                   1,             0.99828,               0.995,             0.83432,            0.011444,           0.0027699,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020833,           0.0054813,                   0,             0.99397,             0.99947,             0.99494,             0.85641,             0.01191,           0.0027121,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020133,           0.0066262,                   0,             0.99314,                   1,             0.99494,             0.86304,            0.011136,           0.0026323,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018731,           0.0056208,                   0,             0.99289,                   1,               0.995,             0.85857,            0.010677,           0.0026537,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018864,           0.0055978,                   0,                   1,             0.99353,               0.995,             0.85229,            0.010936,           0.0026479,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019508,           0.0066905,                   0,                   1,             0.99322,               0.995,             0.86206,            0.010892,           0.0026141,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019101,           0.0062078,                   0,                   1,             0.99848,               0.995,             0.86204,            0.010444,           0.0025354,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019499,            0.005437,                   0,             0.99887,                   1,               0.995,             0.86529,            0.010548,           0.0025413,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018757,           0.0060227,                   0,             0.99849,                   1,               0.995,             0.86178,            0.010395,            0.002529,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.01812,           0.0060628,                   0,              0.9989,                   1,               0.995,              0.8693,             0.01058,           0.0025403,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018027,           0.0061799,                   0,             0.99826,                   1,               0.995,             0.87118,            0.010307,           0.0024951,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018973,            0.005207,                   0,             0.99818,                   1,               0.995,             0.87302,            0.010271,           0.0024904,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01827,           0.0057333,                   0,             0.99907,                   1,               0.995,             0.87121,            0.010116,            0.002492,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018572,           0.0054026,                   0,             0.99905,                   1,               0.995,             0.86927,           0.0098485,           0.0024946,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017965,           0.0053963,                   0,             0.99938,                   1,               0.995,             0.87486,            0.009649,           0.0024462,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018054,           0.0061129,                   0,             0.99938,                   1,               0.995,             0.88242,           0.0093419,           0.0024326,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017311,           0.0055184,                   0,             0.99915,                   1,               0.995,             0.88164,           0.0093791,           0.0024211,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017057,           0.0056516,                   0,             0.99922,                   1,               0.995,              0.8795,           0.0094016,            0.002399,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016162,            0.004802,                   0,             0.99921,                   1,               0.995,             0.88056,           0.0092269,           0.0023537,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017817,             0.00551,                   0,             0.99936,                   1,               0.995,             0.88673,           0.0090729,           0.0023441,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018353,           0.0056955,                   0,             0.99936,                   1,               0.995,             0.88683,           0.0090835,            0.002354,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016908,             0.00556,                   0,             0.99929,                   1,               0.995,             0.88935,            0.008894,           0.0023619,                   0,            0.000397,            0.000397,            0.000397
                  99,               0.017,           0.0057956,                   0,             0.99924,                   1,               0.995,             0.89555,           0.0087208,           0.0023537,                   0,            0.000298,            0.000298,            0.000298
